seq_no,ctd_section,title,xml_element,item_type,relative_path,comment
178,,Study Report 1,m4-2-2-6-pharmacokinetic-drug-interactions,file,m4/42-stud-rep/422-pk/4226-pk-drug-interact/study-report-1.pdf,
179,,Study Report 2,m4-2-2-6-pharmacokinetic-drug-interactions,file,m4/42-stud-rep/422-pk/4226-pk-drug-interact/study-report-2.pdf,
180,,Study Report 3,m4-2-2-6-pharmacokinetic-drug-interactions,file,m4/42-stud-rep/422-pk/4226-pk-drug-interact/study-report-3.pdf,
181,4.2.2.7,Other Pharmacokinetic Studies,m4-2-2-7-other-pharmacokinetic-studies,directory,m4/42-stud-rep/422-pk/4227-other-pk-stud,
182,,Study Report 1,m4-2-2-7-other-pharmacokinetic-studies,file,m4/42-stud-rep/422-pk/4227-other-pk-stud/study-report-1.pdf,
183,,Study Report 2,m4-2-2-7-other-pharmacokinetic-studies,file,m4/42-stud-rep/422-pk/4227-other-pk-stud/study-report-2.pdf,
184,,Study Report 3,m4-2-2-7-other-pharmacokinetic-studies,file,m4/42-stud-rep/422-pk/4227-other-pk-stud/study-report-3.pdf,
185,4.2.3,Toxicology,m4-2-3-toxicology,directory,m4/42-stud-rep/423-tox,
186,4.2.3.1,"Single-Dose Toxicity (in order by species, by route)",m4-2-3-1-single-dose-toxicity,directory,m4/42-stud-rep/423-tox/4231-single-dose-tox,
187,,Study Report 1,m4-2-3-1-single-dose-toxicity,file,m4/42-stud-rep/423-tox/4231-single-dose-tox/study-report-1.pdf,
188,,Study Report 2,m4-2-3-1-single-dose-toxicity,file,m4/42-stud-rep/423-tox/4231-single-dose-tox/study-report-2.pdf,
189,,Study Report 3,m4-2-3-1-single-dose-toxicity,file,m4/42-stud-rep/423-tox/4231-single-dose-tox/study-report-3.pdf,
190,4.2.3.2,"Repeat-Dose Toxicity (in order by species, by route, by duration, including supportive toxicokinetics evaluations)",m4-2-3-2-repeat-dose-toxicity,directory,m4/42-stud-rep/423-tox/4232-repeat-dose-tox,
191,,Study Report 1,m4-2-3-2-repeat-dose-toxicity,file,m4/42-stud-rep/423-tox/4232-repeat-dose-tox/study-report-1.pdf,
192,,Study Report 2,m4-2-3-2-repeat-dose-toxicity,file,m4/42-stud-rep/423-tox/4232-repeat-dose-tox/study-report-2.pdf,
193,,Study Report 3,m4-2-3-2-repeat-dose-toxicity,file,m4/42-stud-rep/423-tox/4232-repeat-dose-tox/study-report-3.pdf,
194,4.2.3.3,Genotoxicity,m4-2-3-3-genotoxicity,directory,m4/42-stud-rep/423-tox/4233-genotox,
195,4.2.3.3.1,In vitro,m4-2-3-3-1-in-vitro,directory,m4/42-stud-rep/423-tox/4233-genotox/42331-in-vitro,
196,,Study Report 1,m4-2-3-3-1-in-vitro,file,m4/42-stud-rep/423-tox/4233-genotox/42331-in-vitro/study-report-1.pdf,
197,,Study Report 2,m4-2-3-3-1-in-vitro,file,m4/42-stud-rep/423-tox/4233-genotox/42331-in-vitro/study-report-2.pdf,
198,,Study Report 3,m4-2-3-3-1-in-vitro,file,m4/42-stud-rep/423-tox/4233-genotox/42331-in-vitro/study-report-3.pdf,
199,4.2.3.3.2,In vivo (including supportive toxicokinetics evaluations),m4-2-3-3-2-in-vivo,directory,m4/42-stud-rep/423-tox/4233-genotox/42332-in-vivo,
200,,Study Report 1,m4-2-3-3-2-in-vivo,file,m4/42-stud-rep/423-tox/4233-genotox/42332-in-vivo/study-report-1.pdf,
201,,Study Report 2,m4-2-3-3-2-in-vivo,file,m4/42-stud-rep/423-tox/4233-genotox/42332-in-vivo/study-report-2.pdf,
202,,Study Report 3,m4-2-3-3-2-in-vivo,file,m4/42-stud-rep/423-tox/4233-genotox/42332-in-vivo/study-report-3.pdf,
203,4.2.3.4,Carcinogenicity (including supportive toxicokinetics evaluations),m4-2-3-4-carcinogenicity,directory,m4/42-stud-rep/423-tox/4234-carcigen,
204,4.2.3.4.1,,m4-2-3-4-1-long-term-studies,directory,m4/42-stud-rep/423-tox/4234-carcigen/42341-lt-stud,"Long-term studies (in order by species, including range-finding studies that cannot be appropriately included under repeat-dose toxicity or pharmacokinetics)"
205,,Study Report 1,m4-2-3-4-1-long-term-studies,file,m4/42-stud-rep/423-tox/4234-carcigen/42341-lt-stud/study-report-1.pdf,
206,,Study Report 2,m4-2-3-4-1-long-term-studies,file,m4/42-stud-rep/423-tox/4234-carcigen/42341-lt-stud/study-report-2.pdf,
207,,Study Report 3,m4-2-3-4-1-long-term-studies,file,m4/42-stud-rep/423-tox/4234-carcigen/42341-lt-stud/study-report-3.pdf,
208,4.2.3.4.2,,m4-2-3-4-2-short-or-medium-term-studies,directory,m4/42-stud-rep/423-tox/4234-carcigen/42342-smt-stud,Short- or medium-term studies (including range-finding studies that cannot be appropriately included under repeat-dose toxicity or pharmacokinetics)
209,,Study Report 1,m4-2-3-4-2-short-or-medium-term-studies,file,m4/42-stud-rep/423-tox/4234-carcigen/42342-smt-stud/study-report-1.pdf,
